iter	Passed	Remaining
918	7096	1027
919	7105	1019
920	7111	1011
921	7118	1003
922	7127	996
923	7134	988
924	7143	980
925	7151	973
926	7159	965
927	7167	957
928	7176	950
929	7184	942
930	7192	934
931	7201	927
932	7207	919
933	7215	911
934	7223	903
935	7231	896
936	7239	888
937	7248	880
938	7256	873
939	7262	865
940	7270	857
941	7278	849
942	7285	842
943	7293	834
944	7302	826
945	7309	819
946	7317	811
947	7324	803
948	7332	795
949	7339	788
950	7347	780
951	7354	772
952	7362	764
953	7370	757
954	7378	749
955	7384	741
956	7392	733
957	7399	726
958	7407	718
959	7415	710
960	7423	702
961	7430	695
962	7438	687
963	7445	679
964	7452	671
965	7462	664
966	7471	656
967	7479	649
968	7486	641
969	7492	633
970	7499	625
971	7506	617
972	7516	610
973	7524	602
974	7533	594
975	7540	587
976	7549	579
977	7557	571
978	7565	564
979	7573	556
980	7582	548
981	7591	541
982	7599	533
983	7608	525
984	7614	517
985	7621	510
986	7628	502
987	7635	494
988	7642	486
989	7653	479
990	7661	471
991	7669	463
992	7678	456
993	7684	448
994	7691	440
995	7698	432
996	7706	425
997	7715	417
998	7724	409
999	7732	402
1000	7740	394
1001	7749	386
1002	7756	378
1003	7764	371
1004	7772	363
1005	7780	355
1006	7787	348
1007	7796	340
1008	7801	332
1009	7810	324
1010	7816	316
1011	7824	309
1012	7832	301
1013	7840	293
1014	7848	286
1015	7857	278
1016	7864	270
1017	7871	262
1018	7881	255
1019	7892	247
1020	7900	239
1021	7907	232
1022	7915	224
1023	7923	216
1024	7931	208
1025	7939	201
1026	7947	193
1027	7956	185
1028	7964	178
1029	7972	170
1030	7980	162
1031	7988	154
1032	7997	147
1033	8005	139
1034	8012	131
1035	8021	123
1036	8030	116
1037	8038	108
1038	8045	100
1039	8053	92
1040	8062	85
1041	8070	77
1042	8077	69
1043	8086	61
1044	8095	54
1045	8104	46
1046	8112	38
1047	8118	30
1048	8126	23
1049	8132	15
1050	8139	7
1051	8149	0
